Exam ID,Groupe,Module,Prof,Salle,Date,Creneau
4861,Groupe_21_2,Module_21_3,Prof_1,AMP_2_3,2025-01-26,4
4952,Groupe_94_1,Module_94_3,Prof_1,AMP_4_2,2025-01-27,3
5043,Groupe_163_4,Module_163_4,Prof_1,S_5_21,2025-01-28,4
2,Groupe_4_1,Module_4_2,Prof_2,AMP_1_1,2025-01-11,4
92,Groupe_24_1,Module_24_6,Prof_2,AMP_5_1,2025-01-15,3
182,Groupe_39_3,Module_39_2,Prof_2,AMP_1_3,2025-01-11,2
272,Groupe_67_1,Module_67_4,Prof_2,AMP_5_3,2025-01-13,4
362,Groupe_77_2,Module_77_6,Prof_2,AMP_5_3,2025-01-15,2
452,Groupe_102_3,Module_102_1,Prof_2,AMP_3_2,2025-01-10,3
542,Groupe_122_4,Module_122_7,Prof_2,AMP_1_2,2025-01-16,4
632,Groupe_134_2,Module_134_5,Prof_2,AMP_7_3,2025-01-14,2
722,Groupe_157_1,Module_157_1,Prof_2,AMP_7_2,2025-01-10,3
812,Groupe_165_3,Module_165_2,Prof_2,AMP_4_2,2025-01-11,3
902,Groupe_195_2,Module_195_4,Prof_2,AMP_2_3,2025-01-13,2
991,Groupe_13_1,Module_13_1,Prof_2,AMP_4_2,2025-01-10,4
1082,Groupe_42_4,Module_42_5,Prof_2,AMP_4_1,2025-01-14,1
1172,Groupe_58_1,Module_58_4,Prof_2,S_5_21,2025-01-13,2
1264,Groupe_79_3,Module_79_3,Prof_2,S_5_19,2025-01-12,2
1352,Groupe_83_3,Module_83_3,Prof_2,S_5_20,2025-01-12,4
1442,Groupe_110_4,Module_110_5,Prof_2,S_5_22,2025-01-14,3
1534,Groupe_146_1,Module_146_6,Prof_2,S_5_2,2025-01-15,2
1622,Groupe_187_3,Module_187_3,Prof_2,S_5_21,2025-01-12,3
1714,Groupe_199_3,Module_199_7,Prof_2,AMP_2_1,2025-01-16,3
1802,Groupe_31_3,Module_31_8,Prof_2,AMP_7_3,2025-01-17,2
1935,Groupe_48_1,Module_48_1,Prof_2,S_6_3,2025-01-16,2
1992,Groupe_49_4,Module_49_5,Prof_2,AMP_6_3,2025-01-20,1
2073,Groupe_60_4,Module_60_2,Prof_2,AMP_4_1,2025-01-17,2
2162,Groupe_87_3,Module_87_8,Prof_2,AMP_6_3,2025-01-23,3
2252,Groupe_106_1,Module_106_6,Prof_2,AMP_5_2,2025-01-21,3
2342,Groupe_117_4,Module_117_6,Prof_2,AMP_5_3,2025-01-21,2
2432,Groupe_129_4,Module_129_4,Prof_2,AMP_6_2,2025-01-19,3
2524,Groupe_143_2,Module_143_3,Prof_2,AMP_4_1,2025-01-18,3
2614,Groupe_169_2,Module_169_3,Prof_2,AMP_7_2,2025-01-19,3
2702,Groupe_180_1,Module_180_7,Prof_2,AMP_7_3,2025-01-23,3
2792,Groupe_185_3,Module_185_6,Prof_2,AMP_6_2,2025-01-22,3
2881,Groupe_194_2,Module_194_6,Prof_2,AMP_2_3,2025-01-22,1
2971,Groupe_14_2,Module_14_1,Prof_2,S_5_20,2025-01-17,3
3066,Groupe_64_4,Module_64_5,Prof_2,AMP_2_1,2025-01-21,1
3155,Groupe_81_2,Module_81_1,Prof_2,S_5_23,2025-01-18,3
3241,Groupe_89_2,Module_89_3,Prof_2,S_6_3,2025-01-20,2
3332,Groupe_105_1,Module_105_3,Prof_2,S_5_19,2025-01-20,4
3422,Groupe_148_1,Module_148_1,Prof_2,S_6_1,2025-01-18,2
3512,Groupe_154_3,Module_154_9,Prof_2,AMP_1_1,2025-01-26,2
3603,Groupe_17_2,Module_17_2,Prof_2,S_5_3,2025-01-19,2
3697,Groupe_56_1,Module_56_6,Prof_2,AMP_6_2,2025-01-24,3
3784,Groupe_65_1,Module_65_7,Prof_2,AMP_5_3,2025-01-25,3
3880,Groupe_99_3,Module_99_5,Prof_2,S_5_17,2025-01-23,4
3949,Groupe_125_2,Module_125_1,Prof_2,S_5_5,2025-01-22,1
4052,Groupe_147_1,Module_147_3,Prof_2,AMP_7_3,2025-01-25,1
4143,Groupe_173_3,Module_173_2,Prof_2,AMP_2_2,2025-01-24,4
4231,Groupe_7_2,Module_7_2,Prof_2,S_6_4,2025-01-24,4
4323,Groupe_28_2,Module_28_5,Prof_2,AMP_3_2,2025-01-28,4
4412,Groupe_46_3,Module_46_4,Prof_2,AMP_3_3,2025-01-27,3
4502,Groupe_107_1,Module_107_4,Prof_2,AMP_4_1,2025-01-27,2
4593,Groupe_132_4,Module_132_5,Prof_2,AMP_6_2,2025-01-28,1
4682,Groupe_149_4,Module_149_4,Prof_2,AMP_7_2,2025-01-27,4
4773,Groupe_189_1,Module_189_5,Prof_2,AMP_6_1,2025-01-28,1
4864,Groupe_21_2,Module_21_6,Prof_2,AMP_7_3,2025-01-29,4
4950,Groupe_94_1,Module_94_1,Prof_2,S_5_15,2025-01-25,1
5041,Groupe_163_4,Module_163_2,Prof_2,S_6_4,2025-01-26,4
3,Groupe_4_1,Module_4_3,Prof_3,AMP_1_1,2025-01-12,4
93,Groupe_24_1,Module_24_7,Prof_3,AMP_6_3,2025-01-16,2
183,Groupe_39_3,Module_39_3,Prof_3,AMP_5_2,2025-01-12,1
273,Groupe_67_1,Module_67_5,Prof_3,AMP_1_2,2025-01-14,3
363,Groupe_77_2,Module_77_7,Prof_3,AMP_5_2,2025-01-16,2
453,Groupe_102_3,Module_102_2,Prof_3,AMP_3_3,2025-01-11,4
543,Groupe_122_4,Module_122_8,Prof_3,AMP_5_2,2025-01-17,1
633,Groupe_134_2,Module_134_6,Prof_3,AMP_6_2,2025-01-15,2
723,Groupe_157_1,Module_157_2,Prof_3,AMP_4_3,2025-01-11,4
813,Groupe_165_3,Module_165_3,Prof_3,AMP_4_2,2025-01-12,4
903,Groupe_195_2,Module_195_5,Prof_3,AMP_2_1,2025-01-14,3
994,Groupe_13_1,Module_13_4,Prof_3,AMP_4_2,2025-01-13,3
1083,Groupe_42_4,Module_42_6,Prof_3,AMP_7_2,2025-01-15,4
1173,Groupe_58_1,Module_58_5,Prof_3,AMP_2_1,2025-01-14,1
1262,Groupe_79_3,Module_79_1,Prof_3,S_5_3,2025-01-10,2
1353,Groupe_83_3,Module_83_4,Prof_3,S_6_3,2025-01-13,1
1443,Groupe_110_4,Module_110_6,Prof_3,AMP_2_1,2025-01-15,4
1532,Groupe_146_1,Module_146_4,Prof_3,S_5_16,2025-01-13,1
1621,Groupe_187_3,Module_187_2,Prof_3,S_5_12,2025-01-11,1
1715,Groupe_199_4,Module_199_1,Prof_3,S_4_22,2025-01-10,3
1803,Groupe_31_4,Module_31_1,Prof_3,S_5_6,2025-01-10,3
1936,Groupe_48_1,Module_48_2,Prof_3,AMP_2_3,2025-01-17,4
1993,Groupe_49_4,Module_49_6,Prof_3,AMP_6_3,2025-01-21,2
2072,Groupe_60_4,Module_60_1,Prof_3,S_5_20,2025-01-16,3
2164,Groupe_87_4,Module_87_2,Prof_3,AMP_4_2,2025-01-17,3
2253,Groupe_106_1,Module_106_7,Prof_3,AMP_1_2,2025-01-22,1
2343,Groupe_117_4,Module_117_7,Prof_3,AMP_3_3,2025-01-22,2
2433,Groupe_129_4,Module_129_5,Prof_3,AMP_3_3,2025-01-20,4
2525,Groupe_143_2,Module_143_4,Prof_3,AMP_3_3,2025-01-19,1
2615,Groupe_169_2,Module_169_4,Prof_3,AMP_4_2,2025-01-20,2
2704,Groupe_180_2,Module_180_2,Prof_3,AMP_7_2,2025-01-18,2
2793,Groupe_185_3,Module_185_7,Prof_3,AMP_6_2,2025-01-23,2
2883,Groupe_194_3,Module_194_2,Prof_3,AMP_6_1,2025-01-18,2
2973,Groupe_14_2,Module_14_3,Prof_3,AMP_6_1,2025-01-19,1
3067,Groupe_64_4,Module_64_6,Prof_3,AMP_7_1,2025-01-22,3
3156,Groupe_81_2,Module_81_2,Prof_3,AMP_2_2,2025-01-19,2
3244,Groupe_89_2,Module_89_6,Prof_3,AMP_7_3,2025-01-23,1
3333,Groupe_105_1,Module_105_4,Prof_3,S_5_25,2025-01-21,3
3424,Groupe_148_1,Module_148_3,Prof_3,S_5_20,2025-01-20,4
3513,Groupe_154_4,Module_154_1,Prof_3,S_5_25,2025-01-18,2
3605,Groupe_17_2,Module_17_4,Prof_3,S_5_23,2025-01-21,4
3702,Groupe_56_2,Module_56_5,Prof_3,AMP_7_1,2025-01-23,1
3785,Groupe_65_1,Module_65_8,Prof_3,AMP_1_1,2025-01-26,4
3882,Groupe_99_3,Module_99_7,Prof_3,AMP_3_3,2025-01-25,4
3964,Groupe_125_4,Module_125_2,Prof_3,AMP_4_3,2025-01-24,2
4053,Groupe_147_1,Module_147_4,Prof_3,AMP_5_2,2025-01-26,2
4144,Groupe_173_3,Module_173_3,Prof_3,AMP_4_2,2025-01-25,1
4233,Groupe_7_2,Module_7_4,Prof_3,AMP_1_2,2025-01-26,4
4324,Groupe_28_2,Module_28_6,Prof_3,AMP_1_3,2025-01-29,2
4413,Groupe_46_3,Module_46_5,Prof_3,AMP_3_1,2025-01-28,1
4503,Groupe_107_1,Module_107_5,Prof_3,AMP_4_2,2025-01-28,4
4589,Groupe_132_4,Module_132_1,Prof_3,S_6_1,2025-01-24,2
4683,Groupe_149_4,Module_149_5,Prof_3,AMP_6_1,2025-01-28,4
4769,Groupe_189_1,Module_189_1,Prof_3,S_5_5,2025-01-24,4
4866,Groupe_21_3,Module_21_2,Prof_3,S_5_19,2025-01-25,2
4954,Groupe_94_1,Module_94_5,Prof_3,AMP_2_3,2025-01-29,2
5042,Groupe_163_4,Module_163_3,Prof_3,AMP_7_1,2025-01-27,3
4,Groupe_4_1,Module_4_4,Prof_4,AMP_1_1,2025-01-13,4
94,Groupe_24_2,Module_24_1,Prof_4,AMP_6_3,2025-01-10,3
184,Groupe_39_3,Module_39_4,Prof_4,AMP_5_1,2025-01-13,2
274,Groupe_67_1,Module_67_6,Prof_4,AMP_1_2,2025-01-15,3
364,Groupe_77_2,Module_77_8,Prof_4,AMP_5_3,2025-01-17,4
454,Groupe_102_3,Module_102_3,Prof_4,AMP_3_2,2025-01-12,3
544,Groupe_122_4,Module_122_9,Prof_4,AMP_5_1,2025-01-18,4
634,Groupe_134_2,Module_134_7,Prof_4,AMP_3_3,2025-01-16,1
724,Groupe_157_1,Module_157_3,Prof_4,AMP_7_3,2025-01-12,4
814,Groupe_165_3,Module_165_4,Prof_4,AMP_4_2,2025-01-13,1
904,Groupe_195_2,Module_195_6,Prof_4,AMP_7_1,2025-01-15,2
993,Groupe_13_1,Module_13_3,Prof_4,AMP_7_1,2025-01-12,3
1084,Groupe_42_4,Module_42_7,Prof_4,AMP_6_2,2025-01-16,4
1174,Groupe_58_1,Module_58_6,Prof_4,AMP_6_1,2025-01-15,4
1263,Groupe_79_3,Module_79_2,Prof_4,S_5_18,2025-01-11,2
1354,Groupe_83_3,Module_83_5,Prof_4,S_5_19,2025-01-14,4
1444,Groupe_110_4,Module_110_7,Prof_4,AMP_4_1,2025-01-16,3
1533,Groupe_146_1,Module_146_5,Prof_4,S_5_25,2025-01-14,1
1627,Groupe_187_4,Module_187_1,Prof_4,S_4_24,2025-01-10,3
1712,Groupe_199_3,Module_199_5,Prof_4,S_4_23,2025-01-14,2
1804,Groupe_31_4,Module_31_2,Prof_4,S_4_24,2025-01-11,4
1868,Groupe_38_1,Module_38_2,Prof_4,S_7_13,2025-01-11,1
1919,Groupe_45_3,Module_45_1,Prof_4,S_7_13,2025-01-10,2
2074,Groupe_60_4,Module_60_3,Prof_4,AMP_3_2,2025-01-18,4
2165,Groupe_87_4,Module_87_3,Prof_4,AMP_3_2,2025-01-18,1
2254,Groupe_106_1,Module_106_8,Prof_4,AMP_5_1,2025-01-23,3
2344,Groupe_117_4,Module_117_8,Prof_4,AMP_1_3,2025-01-23,3
2434,Groupe_129_4,Module_129_6,Prof_4,AMP_7_3,2025-01-21,4
2526,Groupe_143_2,Module_143_5,Prof_4,AMP_6_2,2025-01-20,1
2616,Groupe_169_2,Module_169_5,Prof_4,AMP_6_2,2025-01-21,1
2703,Groupe_180_2,Module_180_1,Prof_4,S_5_2,2025-01-17,2
2794,Groupe_185_4,Module_185_1,Prof_4,S_4_24,2025-01-17,2
2884,Groupe_194_3,Module_194_3,Prof_4,AMP_4_1,2025-01-19,2
2974,Groupe_14_2,Module_14_4,Prof_4,AMP_4_1,2025-01-20,4
3068,Groupe_64_4,Module_64_7,Prof_4,AMP_4_1,2025-01-23,2
3157,Groupe_81_2,Module_81_3,Prof_4,S_5_18,2025-01-20,2
3243,Groupe_89_2,Module_89_5,Prof_4,AMP_7_1,2025-01-22,4
3334,Groupe_105_1,Module_105_5,Prof_4,S_6_1,2025-01-22,3
3423,Groupe_148_1,Module_148_2,Prof_4,S_6_1,2025-01-19,2
3514,Groupe_154_4,Module_154_2,Prof_4,S_5_22,2025-01-19,2
3606,Groupe_17_2,Module_17_5,Prof_4,S_5_22,2025-01-22,1
3700,Groupe_56_2,Module_56_3,Prof_4,S_4_25,2025-01-21,1
3791,Groupe_65_2,Module_65_6,Prof_4,AMP_4_2,2025-01-24,4
3888,Groupe_99_4,Module_99_6,Prof_4,AMP_4_1,2025-01-24,4
3965,Groupe_125_4,Module_125_3,Prof_4,AMP_3_1,2025-01-25,1
4054,Groupe_147_1,Module_147_5,Prof_4,AMP_6_3,2025-01-27,4
4145,Groupe_173_3,Module_173_4,Prof_4,AMP_5_3,2025-01-26,1
4234,Groupe_7_2,Module_7_5,Prof_4,AMP_1_2,2025-01-27,3
4325,Groupe_28_3,Module_28_1,Prof_4,AMP_2_2,2025-01-24,1
4414,Groupe_46_3,Module_46_6,Prof_4,AMP_1_3,2025-01-29,4
4504,Groupe_107_1,Module_107_6,Prof_4,AMP_3_3,2025-01-29,3
4594,Groupe_132_4,Module_132_6,Prof_4,AMP_3_3,2025-01-29,4
4686,Groupe_153_1,Module_153_2,Prof_4,S_5_18,2025-01-25,1
4776,Groupe_189_2,Module_189_2,Prof_4,S_5_22,2025-01-25,4
4863,Groupe_21_2,Module_21_5,Prof_4,AMP_2_2,2025-01-28,4
4956,Groupe_94_2,Module_94_2,Prof_4,S_5_21,2025-01-26,3
5046,Groupe_166_1,Module_166_2,Prof_4,S_5_25,2025-01-26,1
5,Groupe_4_1,Module_4_5,Prof_5,AMP_1_1,2025-01-14,1
95,Groupe_24_2,Module_24_2,Prof_5,AMP_5_1,2025-01-11,4
185,Groupe_39_3,Module_39_5,Prof_5,AMP_5_1,2025-01-14,1
275,Groupe_67_2,Module_67_1,Prof_5,AMP_5_2,2025-01-10,4
365,Groupe_77_2,Module_77_9,Prof_5,AMP_1_1,2025-01-18,1
455,Groupe_102_3,Module_102_4,Prof_5,AMP_1_2,2025-01-13,2
545,Groupe_123_1,Module_123_1,Prof_5,AMP_7_3,2025-01-10,3
635,Groupe_134_3,Module_134_1,Prof_5,AMP_4_1,2025-01-10,2
725,Groupe_157_1,Module_157_4,Prof_5,AMP_4_3,2025-01-13,2
815,Groupe_165_3,Module_165_5,Prof_5,AMP_4_2,2025-01-14,4
906,Groupe_195_3,Module_195_2,Prof_5,AMP_7_1,2025-01-11,1
996,Groupe_13_1,Module_13_6,Prof_5,AMP_4_3,2025-01-15,4
1086,Groupe_43_1,Module_43_2,Prof_5,AMP_7_1,2025-01-11,4
1175,Groupe_58_1,Module_58_7,Prof_5,AMP_4_3,2025-01-16,3
1265,Groupe_79_3,Module_79_4,Prof_5,S_6_4,2025-01-13,1
1355,Groupe_83_3,Module_83_6,Prof_5,S_6_4,2025-01-15,3
1445,Groupe_110_4,Module_110_8,Prof_5,AMP_4_1,2025-01-17,4
1535,Groupe_146_1,Module_146_7,Prof_5,AMP_2_3,2025-01-16,4
1625,Groupe_187_3,Module_187_6,Prof_5,S_4_24,2025-01-15,2
1710,Groupe_199_3,Module_199_3,Prof_5,S_5_22,2025-01-12,3
1805,Groupe_31_4,Module_31_3,Prof_5,S_5_1,2025-01-12,2
1878,Groupe_38_2,Module_38_3,Prof_5,S_4_24,2025-01-12,3
1994,Groupe_49_4,Module_49_7,Prof_5,AMP_1_1,2025-01-22,1
2075,Groupe_60_4,Module_60_4,Prof_5,AMP_5_1,2025-01-19,4
2163,Groupe_87_4,Module_87_1,Prof_5,S_6_20,2025-01-16,3
2256,Groupe_106_2,Module_106_2,Prof_5,S_5_17,2025-01-17,2
2346,Groupe_121_1,Module_121_2,Prof_5,AMP_6_1,2025-01-17,3
2435,Groupe_129_4,Module_129_7,Prof_5,AMP_3_2,2025-01-22,2
2527,Groupe_143_2,Module_143_6,Prof_5,AMP_3_1,2025-01-21,3
2617,Groupe_169_2,Module_169_6,Prof_5,AMP_4_2,2025-01-22,2
2705,Groupe_180_2,Module_180_3,Prof_5,AMP_4_3,2025-01-19,4
2795,Groupe_185_4,Module_185_2,Prof_5,AMP_7_1,2025-01-18,4
2885,Groupe_194_3,Module_194_4,Prof_5,AMP_6_1,2025-01-20,3
2975,Groupe_14_2,Module_14_5,Prof_5,AMP_7_1,2025-01-21,3
3070,Groupe_68_1,Module_68_2,Prof_5,AMP_2_3,2025-01-18,2
3158,Groupe_81_2,Module_81_4,Prof_5,AMP_2_1,2025-01-21,2
3245,Groupe_89_2,Module_89_7,Prof_5,AMP_1_2,2025-01-24,4
3335,Groupe_105_1,Module_105_6,Prof_5,AMP_2_2,2025-01-23,2
3427,Groupe_148_1,Module_148_6,Prof_5,S_6_1,2025-01-23,2
3515,Groupe_154_4,Module_154_3,Prof_5,S_5_1,2025-01-20,2
3604,Groupe_17_2,Module_17_3,Prof_5,S_5_24,2025-01-20,3
3698,Groupe_56_2,Module_56_1,Prof_5,S_5_1,2025-01-19,4
3790,Groupe_65_2,Module_65_5,Prof_5,AMP_2_3,2025-01-23,1
3889,Groupe_99_4,Module_99_7,Prof_5,AMP_3_3,2025-01-25,4
3966,Groupe_125_4,Module_125_4,Prof_5,AMP_6_3,2025-01-26,2
4055,Groupe_147_1,Module_147_6,Prof_5,AMP_6_3,2025-01-28,2
4146,Groupe_173_3,Module_173_5,Prof_5,AMP_1_2,2025-01-27,2
4235,Groupe_7_2,Module_7_6,Prof_5,AMP_5_3,2025-01-28,1
4326,Groupe_28_3,Module_28_2,Prof_5,AMP_7_2,2025-01-25,1
4415,Groupe_47_1,Module_47_1,Prof_5,S_5_18,2025-01-24,2
4505,Groupe_107_2,Module_107_1,Prof_5,S_5_16,2025-01-24,4
4596,Groupe_136_1,Module_136_2,Prof_5,S_6_20,2025-01-25,4
4684,Groupe_149_4,Module_149_6,Prof_5,AMP_7_2,2025-01-29,2
4774,Groupe_189_1,Module_189_6,Prof_5,AMP_6_1,2025-01-29,2
4867,Groupe_21_3,Module_21_3,Prof_5,S_5_19,2025-01-26,1
4957,Groupe_94_2,Module_94_3,Prof_5,S_5_21,2025-01-27,1
5044,Groupe_163_4,Module_163_5,Prof_5,S_6_1,2025-01-29,3
6,Groupe_4_1,Module_4_6,Prof_6,AMP_1_1,2025-01-15,4
96,Groupe_24_2,Module_24_3,Prof_6,AMP_5_1,2025-01-12,3
186,Groupe_39_3,Module_39_6,Prof_6,AMP_1_3,2025-01-15,3
276,Groupe_67_2,Module_67_2,Prof_6,AMP_5_1,2025-01-11,3
366,Groupe_77_3,Module_77_1,Prof_6,AMP_7_3,2025-01-10,2
456,Groupe_102_3,Module_102_5,Prof_6,AMP_5_3,2025-01-14,1
546,Groupe_123_1,Module_123_2,Prof_6,AMP_3_3,2025-01-11,3
636,Groupe_134_3,Module_134_2,Prof_6,AMP_3_1,2025-01-11,3
726,Groupe_157_1,Module_157_5,Prof_6,AMP_4_1,2025-01-14,3
816,Groupe_165_3,Module_165_6,Prof_6,AMP_4_1,2025-01-15,2
905,Groupe_195_3,Module_195_1,Prof_6,AMP_2_2,2025-01-10,2
995,Groupe_13_1,Module_13_5,Prof_6,AMP_2_2,2025-01-14,2
1085,Groupe_43_1,Module_43_1,Prof_6,S_5_17,2025-01-10,3
1178,Groupe_58_2,Module_58_3,Prof_6,S_5_17,2025-01-12,3
1268,Groupe_79_3,Module_79_7,Prof_6,AMP_7_2,2025-01-16,4
1356,Groupe_83_3,Module_83_7,Prof_6,AMP_7_2,2025-01-16,3
1448,Groupe_111_1,Module_111_3,Prof_6,S_5_22,2025-01-12,1
1536,Groupe_146_1,Module_146_8,Prof_6,AMP_3_3,2025-01-17,1
1623,Groupe_187_3,Module_187_4,Prof_6,S_5_22,2025-01-13,4
1718,Groupe_199_4,Module_199_4,Prof_6,S_5_11,2025-01-13,2
1806,Groupe_31_4,Module_31_4,Prof_6,S_5_24,2025-01-13,3
1937,Groupe_48_1,Module_48_3,Prof_6,AMP_5_2,2025-01-18,3
1995,Groupe_51_1,Module_51_1,Prof_6,S_6_20,2025-01-16,2
2076,Groupe_60_4,Module_60_5,Prof_6,AMP_5_2,2025-01-20,1
2166,Groupe_87_4,Module_87_4,Prof_6,AMP_5_2,2025-01-19,3
2257,Groupe_106_2,Module_106_3,Prof_6,AMP_6_2,2025-01-18,4
2347,Groupe_121_1,Module_121_3,Prof_6,AMP_7_3,2025-01-18,3
2436,Groupe_129_4,Module_129_8,Prof_6,AMP_1_3,2025-01-23,2
2528,Groupe_143_2,Module_143_7,Prof_6,AMP_5_3,2025-01-22,4
2618,Groupe_169_2,Module_169_7,Prof_6,AMP_3_2,2025-01-23,2
2706,Groupe_180_2,Module_180_4,Prof_6,AMP_6_2,2025-01-20,4
2796,Groupe_185_4,Module_185_3,Prof_6,AMP_7_1,2025-01-19,3
2886,Groupe_194_3,Module_194_5,Prof_6,AMP_4_1,2025-01-21,1
2976,Groupe_14_2,Module_14_6,Prof_6,AMP_2_1,2025-01-22,2
3041,Groupe_64_1,Module_64_1,Prof_6,S_5_7,2025-01-17,4
3111,Groupe_76_4,Module_76_1,Prof_6,S_4_25,2025-01-17,1
3247,Groupe_89_3,Module_89_2,Prof_6,S_5_19,2025-01-19,1
3336,Groupe_105_1,Module_105_7,Prof_6,AMP_1_3,2025-01-24,2
3425,Groupe_148_1,Module_148_4,Prof_6,S_6_20,2025-01-21,1
3516,Groupe_154_4,Module_154_4,Prof_6,S_5_2,2025-01-21,3
3607,Groupe_17_2,Module_17_6,Prof_6,AMP_2_3,2025-01-23,4
3699,Groupe_56_2,Module_56_2,Prof_6,S_5_14,2025-01-20,2
3789,Groupe_65_2,Module_65_4,Prof_6,S_5_5,2025-01-22,2
3895,Groupe_112_1,Module_112_6,Prof_6,AMP_7_2,2025-01-24,3
3967,Groupe_125_4,Module_125_5,Prof_6,AMP_5_1,2025-01-27,3
4057,Groupe_147_2,Module_147_2,Prof_6,AMP_2_3,2025-01-24,4
4147,Groupe_173_3,Module_173_6,Prof_6,AMP_1_3,2025-01-28,1
4236,Groupe_7_2,Module_7_7,Prof_6,AMP_5_2,2025-01-29,3
4327,Groupe_28_3,Module_28_3,Prof_6,AMP_3_2,2025-01-26,3
4416,Groupe_47_1,Module_47_2,Prof_6,S_5_17,2025-01-25,4
4506,Groupe_107_2,Module_107_2,Prof_6,AMP_7_1,2025-01-25,1
4597,Groupe_136_1,Module_136_3,Prof_6,AMP_6_1,2025-01-26,1
4687,Groupe_153_1,Module_153_3,Prof_6,AMP_7_1,2025-01-26,3
